"filename", "language", "Vue", "CSS", "JSON", "JavaScript", "HTML", "Markdown", "comment", "blank", "total"
"f:\projects\vue\edify-centre-project\README.md", "Markdown", 0, 0, 0, 0, 0, 15, 0, 5, 20
"f:\projects\vue\edify-centre-project\babel.config.js", "JavaScript", 0, 0, 0, 5, 0, 0, 0, 1, 6
"f:\projects\vue\edify-centre-project\package-lock.json", "JSON", 0, 0, 25738, 0, 0, 0, 0, 1, 25739
"f:\projects\vue\edify-centre-project\package.json", "JSON", 0, 0, 22, 0, 0, 0, 0, 1, 23
"f:\projects\vue\edify-centre-project\public\index.html", "HTML", 0, 0, 0, 0, 17, 0, 1, 1, 19
"f:\projects\vue\edify-centre-project\src\App.vue", "Vue", 32, 0, 0, 0, 0, 0, 0, 3, 35
"f:\projects\vue\edify-centre-project\src\axios.js", "JavaScript", 0, 0, 0, 2, 0, 0, 0, 1, 3
"f:\projects\vue\edify-centre-project\src\components\Element.vue", "Vue", 18, 0, 0, 0, 0, 0, 0, 2, 20
"f:\projects\vue\edify-centre-project\src\components\Footer.vue", "Vue", 18, 0, 0, 0, 0, 0, 0, 5, 23
"f:\projects\vue\edify-centre-project\src\components\Header.vue", "Vue", 11, 0, 0, 0, 0, 0, 0, 3, 14
"f:\projects\vue\edify-centre-project\src\components\Navbar.vue", "Vue", 24, 0, 0, 0, 0, 0, 0, 4, 28
"f:\projects\vue\edify-centre-project\src\components\Sidebar.vue", "Vue", 27, 0, 0, 0, 0, 0, 0, 5, 32
"f:\projects\vue\edify-centre-project\src\main.js", "JavaScript", 0, 0, 0, 5, 0, 0, 0, 0, 5
"f:\projects\vue\edify-centre-project\src\router\index.js", "JavaScript", 0, 0, 0, 37, 0, 0, 0, 3, 40
"f:\projects\vue\edify-centre-project\src\settings\links.json", "JSON", 0, 0, 39, 0, 0, 0, 0, 7, 46
"f:\projects\vue\edify-centre-project\src\styles\element.css", "CSS", 0, 21, 0, 0, 0, 0, 0, 2, 23
"f:\projects\vue\edify-centre-project\src\styles\login.css", "CSS", 0, 103, 0, 0, 0, 0, 0, 13, 116
"f:\projects\vue\edify-centre-project\src\styles\navbar.css", "CSS", 0, 47, 0, 0, 0, 0, 9, 13, 69
"f:\projects\vue\edify-centre-project\src\styles\registration.css", "CSS", 0, 101, 0, 0, 0, 0, 0, 14, 115
"f:\projects\vue\edify-centre-project\src\styles\sidebar.css", "CSS", 0, 10, 0, 0, 0, 0, 4, 3, 17
"f:\projects\vue\edify-centre-project\src\styles\variables.css", "CSS", 0, 6, 0, 0, 0, 0, 0, 0, 6
"f:\projects\vue\edify-centre-project\src\views\About.vue", "Vue", 14, 0, 0, 0, 0, 0, 0, 4, 18
"f:\projects\vue\edify-centre-project\src\views\Dashboard.vue", "Vue", 17, 0, 0, 0, 0, 0, 0, 2, 19
"f:\projects\vue\edify-centre-project\src\views\Home.vue", "Vue", 11, 0, 0, 0, 0, 0, 0, 2, 13
"f:\projects\vue\edify-centre-project\src\views\Login.vue", "Vue", 59, 0, 0, 0, 0, 0, 0, 4, 63
"f:\projects\vue\edify-centre-project\src\views\Registration.vue", "Vue", 98, 0, 0, 0, 0, 0, 0, 2, 100
"Total", "-", 329, 288, 25799, 49, 17, 15, 14, 101, 26612